Web Search interest: medicina+saúde+saude ciência+ciencia+tecnologia arte+cultura moda política+politica
Brazil 2006-2015

Interest over time
Week,medicina+saúde+saude,ciência+ciencia+tecnologia,arte+cultura,moda,política+politica
2006-12-31 - 2007-01-06,64,13,37,14,5
2007-01-07 - 2007-01-13,69,14,37,15,6
2007-01-14 - 2007-01-20,76,16,38,16,6
2007-01-21 - 2007-01-27,73,15,42,16,6
2007-01-28 - 2007-02-03,74,16,41,15,6
2007-02-04 - 2007-02-10,72,19,48,15,8
2007-02-11 - 2007-02-17,71,22,53,15,10
2007-02-18 - 2007-02-24,65,18,52,15,8
2007-02-25 - 2007-03-03,79,25,68,17,12
2007-03-04 - 2007-03-10,76,25,69,17,14
2007-03-11 - 2007-03-17,84,26,71,18,14
2007-03-18 - 2007-03-24,79,26,73,18,15
2007-03-25 - 2007-03-31,75,26,70,18,15
2007-04-01 - 2007-04-07,64,21,61,18,12
2007-04-08 - 2007-04-14,73,23,67,18,14
2007-04-15 - 2007-04-21,76,23,70,21,14
2007-04-22 - 2007-04-28,77,22,64,21,13
2007-04-29 - 2007-05-05,68,19,57,20,12
2007-05-06 - 2007-05-12,75,23,65,22,14
2007-05-13 - 2007-05-19,74,23,70,21,15
2007-05-20 - 2007-05-26,74,22,70,21,16
2007-05-27 - 2007-06-02,78,24,70,22,17
2007-06-03 - 2007-06-09,68,21,66,22,16
2007-06-10 - 2007-06-16,72,22,69,20,18
2007-06-17 - 2007-06-23,72,21,66,20,16
2007-06-24 - 2007-06-30,71,20,61,19,14
2007-07-01 - 2007-07-07,67,17,54,20,11
2007-07-08 - 2007-07-14,67,16,49,21,9
2007-07-15 - 2007-07-21,63,14,42,19,7
2007-07-22 - 2007-07-28,67,15,46,20,7
2007-07-29 - 2007-08-04,67,17,54,19,9
2007-08-05 - 2007-08-11,69,20,61,20,12
2007-08-12 - 2007-08-18,74,23,66,20,13
2007-08-19 - 2007-08-25,74,22,66,21,15
2007-08-26 - 2007-09-01,73,23,65,21,16
2007-09-02 - 2007-09-08,66,21,63,21,16
2007-09-09 - 2007-09-15,73,23,65,21,17
2007-09-16 - 2007-09-22,72,22,66,22,17
2007-09-23 - 2007-09-29,72,23,66,22,16
2007-09-30 - 2007-10-06,72,22,60,23,15
2007-10-07 - 2007-10-13,66,20,56,22,13
2007-10-14 - 2007-10-20,73,22,60,21,14
2007-10-21 - 2007-10-27,74,21,66,23,16
2007-10-28 - 2007-11-03,70,20,63,23,15
2007-11-04 - 2007-11-10,74,21,68,23,17
2007-11-11 - 2007-11-17,68,20,63,23,15
2007-11-18 - 2007-11-24,72,21,67,22,16
2007-11-25 - 2007-12-01,68,20,59,22,15
2007-12-02 - 2007-12-08,63,18,51,23,11
2007-12-09 - 2007-12-15,59,16,44,23,9
2007-12-16 - 2007-12-22,55,13,39,22,6
2007-12-23 - 2007-12-29,42,9,29,22,3
2007-12-30 - 2008-01-05,54,11,33,19,4
2008-01-06 - 2008-01-12,71,12,38,21,6
2008-01-13 - 2008-01-19,74,13,38,22,6
2008-01-20 - 2008-01-26,74,13,37,21,5
2008-01-27 - 2008-02-02,65,13,37,20,6
2008-02-03 - 2008-02-09,59,13,38,19,6
2008-02-10 - 2008-02-16,76,20,48,20,9
2008-02-17 - 2008-02-23,78,22,58,20,11
2008-02-24 - 2008-03-01,78,23,61,21,12
2008-03-02 - 2008-03-08,78,23,63,20,14
2008-03-09 - 2008-03-15,79,23,66,22,15
2008-03-16 - 2008-03-22,68,21,57,23,14
2008-03-23 - 2008-03-29,85,24,67,23,16
2008-03-30 - 2008-04-05,85,24,70,22,17
2008-04-06 - 2008-04-12,83,23,70,24,16
2008-04-13 - 2008-04-19,75,22,69,24,15
2008-04-20 - 2008-04-26,75,20,63,24,14
2008-04-27 - 2008-05-03,73,18,57,26,12
2008-05-04 - 2008-05-10,72,20,59,25,13
2008-05-11 - 2008-05-17,76,21,64,25,15
2008-05-18 - 2008-05-24,69,20,61,25,13
2008-05-25 - 2008-05-31,75,21,66,25,17
2008-06-01 - 2008-06-07,70,22,66,27,17
2008-06-08 - 2008-06-14,73,21,64,25,16
2008-06-15 - 2008-06-21,71,20,62,25,16
2008-06-22 - 2008-06-28,66,19,59,27,15
2008-06-29 - 2008-07-05,64,17,50,24,13
2008-07-06 - 2008-07-12,62,15,45,25,12
2008-07-13 - 2008-07-19,63,15,41,24,10
2008-07-20 - 2008-07-26,60,14,41,25,9
2008-07-27 - 2008-08-02,63,16,46,25,11
2008-08-03 - 2008-08-09,68,19,56,24,14
2008-08-10 - 2008-08-16,73,21,62,25,17
2008-08-17 - 2008-08-23,72,21,64,25,19
2008-08-24 - 2008-08-30,75,22,60,26,20
2008-08-31 - 2008-09-06,78,22,59,27,20
2008-09-07 - 2008-09-13,80,22,58,25,21
2008-09-14 - 2008-09-20,76,22,58,28,22
2008-09-21 - 2008-09-27,72,22,57,27,23
2008-09-28 - 2008-10-04,72,20,53,25,24
2008-10-05 - 2008-10-11,64,18,51,24,22
2008-10-12 - 2008-10-18,72,18,50,27,14
2008-10-19 - 2008-10-25,70,20,56,26,15
2008-10-26 - 2008-11-01,71,20,57,27,14
2008-11-02 - 2008-11-08,74,20,61,29,15
2008-11-09 - 2008-11-15,74,20,63,28,15
2008-11-16 - 2008-11-22,69,20,60,28,14
2008-11-23 - 2008-11-29,67,20,54,27,13
2008-11-30 - 2008-12-06,68,17,49,28,10
2008-12-07 - 2008-12-13,57,15,42,28,8
2008-12-14 - 2008-12-20,53,13,36,28,6
2008-12-21 - 2008-12-27,37,8,28,26,3
2008-12-28 - 2009-01-03,41,8,28,27,4
2009-01-04 - 2009-01-10,62,13,35,24,4
2009-01-11 - 2009-01-17,67,13,35,27,4
2009-01-18 - 2009-01-24,66,14,38,27,5
2009-01-25 - 2009-01-31,68,13,39,26,5
2009-02-01 - 2009-02-07,69,16,44,26,6
2009-02-08 - 2009-02-14,71,19,47,25,7
2009-02-15 - 2009-02-21,68,20,51,25,8
2009-02-22 - 2009-02-28,61,16,46,26,7
2009-03-01 - 2009-03-07,76,21,56,26,11
2009-03-08 - 2009-03-14,74,22,61,28,11
2009-03-15 - 2009-03-21,74,22,59,28,11
2009-03-22 - 2009-03-28,75,21,61,29,12
2009-03-29 - 2009-04-04,75,21,61,30,13
2009-04-05 - 2009-04-11,63,18,52,30,10
2009-04-12 - 2009-04-18,75,20,58,31,12
2009-04-19 - 2009-04-25,67,18,53,35,11
2009-04-26 - 2009-05-02,73,18,54,32,11
2009-05-03 - 2009-05-09,73,19,53,32,11
2009-05-10 - 2009-05-16,73,20,58,32,12
2009-05-17 - 2009-05-23,72,20,60,33,12
2009-05-24 - 2009-05-30,71,20,58,31,13
2009-05-31 - 2009-06-06,66,19,55,33,12
2009-06-07 - 2009-06-13,59,17,50,37,11
2009-06-14 - 2009-06-20,71,20,55,36,13
2009-06-21 - 2009-06-27,68,18,51,35,12
2009-06-28 - 2009-07-04,64,16,44,34,9
2009-07-05 - 2009-07-11,58,14,40,34,7
2009-07-12 - 2009-07-18,63,13,39,35,5
2009-07-19 - 2009-07-25,65,13,38,36,5
2009-07-26 - 2009-08-01,71,14,41,38,6
2009-08-02 - 2009-08-08,72,14,41,36,6
2009-08-09 - 2009-08-15,77,16,46,36,8
2009-08-16 - 2009-08-22,78,18,53,35,11
2009-08-23 - 2009-08-29,74,20,55,36,12
2009-08-30 - 2009-09-05,71,20,53,36,12
2009-09-06 - 2009-09-12,66,19,53,37,12
2009-09-13 - 2009-09-19,74,20,58,38,14
2009-09-20 - 2009-09-26,71,20,56,36,14
2009-09-27 - 2009-10-03,68,19,52,35,12
2009-10-04 - 2009-10-10,66,18,49,37,11
2009-10-11 - 2009-10-17,62,16,45,38,9
2009-10-18 - 2009-10-24,69,20,50,38,12
2009-10-25 - 2009-10-31,69,19,51,38,12
2009-11-01 - 2009-11-07,68,18,51,42,11
2009-11-08 - 2009-11-14,72,19,54,39,13
2009-11-15 - 2009-11-21,68,17,56,39,13
2009-11-22 - 2009-11-28,67,21,51,40,12
2009-11-29 - 2009-12-05,62,16,46,42,10
2009-12-06 - 2009-12-12,55,14,41,41,8
2009-12-13 - 2009-12-19,54,13,37,41,6
2009-12-20 - 2009-12-26,40,9,28,41,3
2009-12-27 - 2010-01-02,41,9,26,42,3
2010-01-03 - 2010-01-09,61,12,31,36,4
2010-01-10 - 2010-01-16,63,13,32,36,4
2010-01-17 - 2010-01-23,62,14,32,37,4
2010-01-24 - 2010-01-30,63,15,33,36,5
2010-01-31 - 2010-02-06,67,19,37,33,5
2010-02-07 - 2010-02-13,62,18,39,33,6
2010-02-14 - 2010-02-20,56,16,38,34,5
2010-02-21 - 2010-02-27,73,19,49,32,9
2010-02-28 - 2010-03-06,75,21,54,34,10
2010-03-07 - 2010-03-13,80,22,54,33,11
2010-03-14 - 2010-03-20,78,21,54,36,11
2010-03-21 - 2010-03-27,79,21,52,34,11
2010-03-28 - 2010-04-03,68,18,45,36,10
2010-04-04 - 2010-04-10,88,20,53,38,11
2010-04-11 - 2010-04-17,81,20,54,39,13
2010-04-18 - 2010-04-24,83,18,52,40,11
2010-04-25 - 2010-05-01,82,19,52,39,12
2010-05-02 - 2010-05-08,72,19,49,38,12
2010-05-09 - 2010-05-15,77,19,51,39,12
2010-05-16 - 2010-05-22,83,19,53,40,12
2010-05-23 - 2010-05-29,72,20,52,39,16
2010-05-30 - 2010-06-05,65,17,49,40,12
2010-06-06 - 2010-06-12,68,18,53,36,13
2010-06-13 - 2010-06-19,67,19,52,35,13
2010-06-20 - 2010-06-26,63,17,47,35,11
2010-06-27 - 2010-07-03,59,14,41,34,9
2010-07-04 - 2010-07-10,59,13,40,36,8
2010-07-11 - 2010-07-17,57,13,37,37,7
2010-07-18 - 2010-07-24,58,13,33,37,6
2010-07-25 - 2010-07-31,57,13,35,35,7
2010-08-01 - 2010-08-07,60,15,43,34,9
2010-08-08 - 2010-08-14,64,18,46,34,12
2010-08-15 - 2010-08-21,65,19,47,34,14
2010-08-22 - 2010-08-28,66,19,48,36,16
2010-08-29 - 2010-09-04,64,18,45,34,15
2010-09-05 - 2010-09-11,57,16,43,39,14
2010-09-12 - 2010-09-18,66,18,47,37,17
2010-09-19 - 2010-09-25,63,18,46,38,18
2010-09-26 - 2010-10-02,60,17,41,37,19
2010-10-03 - 2010-10-09,57,15,39,37,18
2010-10-10 - 2010-10-16,52,14,35,38,11
2010-10-17 - 2010-10-23,62,18,42,37,14
2010-10-24 - 2010-10-30,60,17,44,38,14
2010-10-31 - 2010-11-06,55,16,43,41,14
2010-11-07 - 2010-11-13,61,16,46,38,14
2010-11-14 - 2010-11-20,59,16,47,41,12
2010-11-21 - 2010-11-27,61,16,46,40,13
2010-11-28 - 2010-12-04,59,15,41,41,10
2010-12-05 - 2010-12-11,53,13,36,42,7
2010-12-12 - 2010-12-18,48,11,33,43,6
2010-12-19 - 2010-12-25,39,9,28,41,3
2010-12-26 - 2011-01-01,39,9,24,43,3
2011-01-02 - 2011-01-08,52,11,27,39,4
2011-01-09 - 2011-01-15,52,12,27,41,4
2011-01-16 - 2011-01-22,57,16,27,40,4
2011-01-23 - 2011-01-29,57,13,28,42,4
2011-01-30 - 2011-02-05,58,13,30,39,5
2011-02-06 - 2011-02-12,60,15,36,36,6
2011-02-13 - 2011-02-19,62,16,40,37,7
2011-02-20 - 2011-02-26,62,17,42,37,8
2011-02-27 - 2011-03-05,57,16,39,37,8
2011-03-06 - 2011-03-12,51,13,35,41,7
2011-03-13 - 2011-03-19,61,18,44,36,9
2011-03-20 - 2011-03-26,62,18,47,40,10
2011-03-27 - 2011-04-02,65,18,46,37,10
2011-04-03 - 2011-04-09,64,17,46,39,10
2011-04-10 - 2011-04-16,62,17,46,38,10
2011-04-17 - 2011-04-23,51,14,37,41,8
2011-04-24 - 2011-04-30,67,15,41,38,9
2011-05-01 - 2011-05-07,59,14,42,39,9
2011-05-08 - 2011-05-14,62,15,42,37,9
2011-05-15 - 2011-05-21,63,16,44,40,10
2011-05-22 - 2011-05-28,61,16,44,39,10
2011-05-29 - 2011-06-04,61,16,44,38,10
2011-06-05 - 2011-06-11,58,15,42,38,10
2011-06-12 - 2011-06-18,59,15,42,36,10
2011-06-19 - 2011-06-25,52,13,36,39,7
2011-06-26 - 2011-07-02,57,13,36,36,8
2011-07-03 - 2011-07-09,53,11,33,38,6
2011-07-10 - 2011-07-16,53,11,31,37,5
2011-07-17 - 2011-07-23,51,11,29,38,5
2011-07-24 - 2011-07-30,52,12,31,37,5
2011-07-31 - 2011-08-06,57,13,37,36,7
2011-08-07 - 2011-08-13,58,14,40,37,8
2011-08-14 - 2011-08-20,58,14,40,37,9
2011-08-21 - 2011-08-27,60,15,42,38,9
2011-08-28 - 2011-09-03,59,15,41,37,10
2011-09-04 - 2011-09-10,54,13,37,39,9
2011-09-11 - 2011-09-17,60,15,42,37,11
2011-09-18 - 2011-09-24,59,15,42,36,10
2011-09-25 - 2011-10-01,59,15,39,37,9
2011-10-02 - 2011-10-08,57,14,37,34,8
2011-10-09 - 2011-10-15,53,13,34,36,8
2011-10-16 - 2011-10-22,60,16,39,32,10
2011-10-23 - 2011-10-29,60,15,39,31,9
2011-10-30 - 2011-11-05,55,14,39,32,9
2011-11-06 - 2011-11-12,58,14,42,31,10
2011-11-13 - 2011-11-19,54,13,40,33,9
2011-11-20 - 2011-11-26,59,14,42,31,10
2011-11-27 - 2011-12-03,56,13,38,32,9
2011-12-04 - 2011-12-10,50,11,33,33,7
2011-12-11 - 2011-12-17,46,11,33,32,6
2011-12-18 - 2011-12-24,40,8,27,30,4
2011-12-25 - 2011-12-31,40,8,23,30,3
2012-01-01 - 2012-01-07,51,9,26,27,4
2012-01-08 - 2012-01-14,54,11,28,29,4
2012-01-15 - 2012-01-21,50,11,28,30,4
2012-01-22 - 2012-01-28,51,11,28,31,4
2012-01-29 - 2012-02-04,55,11,31,29,5
2012-02-05 - 2012-02-11,56,13,35,26,6
2012-02-12 - 2012-02-18,53,12,37,27,6
2012-02-19 - 2012-02-25,47,11,35,29,5
2012-02-26 - 2012-03-03,63,14,42,26,8
2012-03-04 - 2012-03-10,64,15,42,27,8
2012-03-11 - 2012-03-17,64,15,43,28,9
2012-03-18 - 2012-03-24,64,16,43,28,10
2012-03-25 - 2012-03-31,60,15,42,28,10
2012-04-01 - 2012-04-07,53,13,36,28,8
2012-04-08 - 2012-04-14,61,15,42,27,10
2012-04-15 - 2012-04-21,61,15,42,29,10
2012-04-22 - 2012-04-28,70,15,38,28,9
2012-04-29 - 2012-05-05,57,13,35,31,8
2012-05-06 - 2012-05-12,60,14,38,28,9
2012-05-13 - 2012-05-19,59,15,40,28,10
2012-05-20 - 2012-05-26,59,14,41,29,10
2012-05-27 - 2012-06-02,60,15,42,29,11
2012-06-03 - 2012-06-09,50,13,37,31,9
2012-06-10 - 2012-06-16,54,13,39,28,11
2012-06-17 - 2012-06-23,55,13,38,29,10
2012-06-24 - 2012-06-30,53,12,34,28,10
2012-07-01 - 2012-07-07,52,11,32,28,9
2012-07-08 - 2012-07-14,53,11,30,29,9
2012-07-15 - 2012-07-21,49,10,29,29,9
2012-07-22 - 2012-07-28,50,10,30,30,9
2012-07-29 - 2012-08-04,51,12,34,29,11
2012-08-05 - 2012-08-11,53,13,39,28,13
2012-08-12 - 2012-08-18,56,14,41,30,14
2012-08-19 - 2012-08-25,56,14,43,31,16
2012-08-26 - 2012-09-01,54,14,42,31,17
2012-09-02 - 2012-09-08,49,13,38,31,16
2012-09-09 - 2012-09-15,54,14,41,30,17
2012-09-16 - 2012-09-22,54,14,41,30,19
2012-09-23 - 2012-09-29,54,14,40,31,20
2012-09-30 - 2012-10-06,54,13,35,30,23
2012-10-07 - 2012-10-13,44,11,32,29,21
2012-10-14 - 2012-10-20,53,13,36,30,11
2012-10-21 - 2012-10-27,54,13,38,31,12
2012-10-28 - 2012-11-03,48,13,37,32,11
2012-11-04 - 2012-11-10,53,14,39,31,10
2012-11-11 - 2012-11-17,46,12,36,31,9
2012-11-18 - 2012-11-24,50,13,38,30,9
2012-11-25 - 2012-12-01,50,13,36,30,9
2012-12-02 - 2012-12-08,48,12,34,30,7
2012-12-09 - 2012-12-15,46,11,30,30,6
2012-12-16 - 2012-12-22,39,10,27,29,4
2012-12-23 - 2012-12-29,31,8,22,27,3
2012-12-30 - 2013-01-05,41,9,23,26,4
2013-01-06 - 2013-01-12,52,12,27,25,4
2013-01-13 - 2013-01-19,50,12,28,26,4
2013-01-20 - 2013-01-26,48,12,29,26,4
2013-01-27 - 2013-02-02,49,10,28,24,4
2013-02-03 - 2013-02-09,46,11,30,24,4
2013-02-10 - 2013-02-16,40,10,29,24,4
2013-02-17 - 2013-02-23,52,14,37,24,6
2013-02-24 - 2013-03-02,53,14,40,26,7
2013-03-03 - 2013-03-09,53,14,39,25,8
2013-03-10 - 2013-03-16,55,14,40,26,8
2013-03-17 - 2013-03-23,54,14,39,28,8
2013-03-24 - 2013-03-30,47,13,36,28,7
2013-03-31 - 2013-04-06,56,14,40,26,9
2013-04-07 - 2013-04-13,56,15,43,27,9
2013-04-14 - 2013-04-20,57,15,41,28,9
2013-04-21 - 2013-04-27,57,14,38,29,8
2013-04-28 - 2013-05-04,50,13,35,30,7
2013-05-05 - 2013-05-11,54,13,37,28,8
2013-05-12 - 2013-05-18,54,13,38,27,8
2013-05-19 - 2013-05-25,54,14,39,28,8
2013-05-26 - 2013-06-01,49,12,34,28,8
2013-06-02 - 2013-06-08,55,14,38,26,9
2013-06-09 - 2013-06-15,52,14,38,25,9
2013-06-16 - 2013-06-22,52,12,35,25,11
2013-06-23 - 2013-06-29,50,12,33,26,10
2013-06-30 - 2013-07-06,49,12,31,26,7
2013-07-07 - 2013-07-13,51,10,28,27,5
2013-07-14 - 2013-07-20,49,11,28,27,5
2013-07-21 - 2013-07-27,47,9,27,26,4
2013-07-28 - 2013-08-03,51,10,30,26,5
2013-08-04 - 2013-08-10,54,12,35,25,7
2013-08-11 - 2013-08-17,53,13,35,25,7
2013-08-18 - 2013-08-24,56,13,37,25,8
2013-08-25 - 2013-08-31,56,13,37,26,9
2013-09-01 - 2013-09-07,54,13,37,25,9
2013-09-08 - 2013-09-14,53,13,36,26,9
2013-09-15 - 2013-09-21,53,13,36,26,10
2013-09-22 - 2013-09-28,52,13,36,25,9
2013-09-29 - 2013-10-05,53,12,34,26,8
2013-10-06 - 2013-10-12,51,12,33,25,8
2013-10-13 - 2013-10-19,51,13,32,26,7
2013-10-20 - 2013-10-26,54,14,34,25,8
2013-10-27 - 2013-11-02,55,13,35,25,8
2013-11-03 - 2013-11-09,54,13,36,26,9
2013-11-10 - 2013-11-16,52,12,34,26,8
2013-11-17 - 2013-11-23,53,12,37,27,9
2013-11-24 - 2013-11-30,52,12,34,27,9
2013-12-01 - 2013-12-07,49,11,31,27,7
2013-12-08 - 2013-12-14,44,9,28,26,5
2013-12-15 - 2013-12-21,41,8,25,25,4
2013-12-22 - 2013-12-28,30,5,19,22,2
2013-12-29 - 2014-01-04,39,7,19,21,2
2014-01-05 - 2014-01-11,55,11,24,21,3
2014-01-12 - 2014-01-18,51,9,25,22,4
2014-01-19 - 2014-01-25,52,9,26,22,4
2014-01-26 - 2014-02-01,53,10,28,21,4
2014-02-02 - 2014-02-08,53,11,32,21,5
2014-02-09 - 2014-02-15,54,13,35,21,6
2014-02-16 - 2014-02-22,55,13,36,22,7
2014-02-23 - 2014-03-01,53,13,34,23,7
2014-03-02 - 2014-03-08,44,10,29,22,6
2014-03-09 - 2014-03-15,58,14,39,22,9
2014-03-16 - 2014-03-22,59,14,39,23,8
2014-03-23 - 2014-03-29,60,14,40,24,9
2014-03-30 - 2014-04-05,58,14,39,23,9
2014-04-06 - 2014-04-12,58,14,38,23,9
2014-04-13 - 2014-04-19,46,11,32,23,7
2014-04-20 - 2014-04-26,54,12,35,23,8
2014-04-27 - 2014-05-03,53,11,34,24,8
2014-05-04 - 2014-05-10,58,13,38,22,9
2014-05-11 - 2014-05-17,58,14,43,23,10
2014-05-18 - 2014-05-24,57,14,43,23,10
2014-05-25 - 2014-05-31,58,14,43,24,11
2014-06-01 - 2014-06-07,55,14,40,23,10
2014-06-08 - 2014-06-14,46,10,33,21,8
2014-06-15 - 2014-06-21,45,9,28,22,6
2014-06-22 - 2014-06-28,47,10,29,22,6
2014-06-29 - 2014-07-05,49,9,27,21,6
2014-07-06 - 2014-07-12,45,9,26,21,6
2014-07-13 - 2014-07-19,50,10,31,21,7
2014-07-20 - 2014-07-26,53,11,31,22,7
2014-07-27 - 2014-08-02,52,11,32,23,8
2014-08-03 - 2014-08-09,54,12,34,22,8
2014-08-10 - 2014-08-16,54,13,35,22,10
2014-08-17 - 2014-08-23,57,14,37,23,13
2014-08-24 - 2014-08-30,56,14,37,23,13
2014-08-31 - 2014-09-06,55,13,35,22,13
2014-09-07 - 2014-09-13,56,13,36,23,13
2014-09-14 - 2014-09-20,55,14,37,23,13
2014-09-21 - 2014-09-27,54,13,35,23,14
2014-09-28 - 2014-10-04,54,13,33,22,16
2014-10-05 - 2014-10-11,52,12,31,21,18
2014-10-12 - 2014-10-18,56,12,30,22,12
2014-10-19 - 2014-10-25,58,13,33,23,15
2014-10-26 - 2014-11-01,53,12,33,21,18
2014-11-02 - 2014-11-08,58,14,36,23,12
2014-11-09 - 2014-11-15,58,13,36,23,11
2014-11-16 - 2014-11-22,53,12,36,24,10
2014-11-23 - 2014-11-29,53,12,36,24,9
2014-11-30 - 2014-12-06,56,11,31,24,8
2014-12-07 - 2014-12-13,48,9,28,24,6
2014-12-14 - 2014-12-20,45,8,25,23,5
2014-12-21 - 2014-12-27,31,6,20,21,3
2014-12-28 - 2015-01-03,32,6,19,20,3
2015-01-04 - 2015-01-10,51,8,24,21,3
2015-01-11 - 2015-01-17,53,9,23,21,3
2015-01-18 - 2015-01-24,54,11,25,21,4
2015-01-25 - 2015-01-31,55,10,26,21,4
2015-02-01 - 2015-02-07,53,10,29,19,5
2015-02-08 - 2015-02-14,52,11,29,19,6
2015-02-15 - 2015-02-21,44,9,27,20,5
2015-02-22 - 2015-02-28,56,13,34,19,7
2015-03-01 - 2015-03-07,58,13,35,20,8
2015-03-08 - 2015-03-14,58,13,37,21,10
2015-03-15 - 2015-03-21,57,14,38,21,12
2015-03-22 - 2015-03-28,56,14,37,21,10
2015-03-29 - 2015-04-04,52,12,34,20,8
2015-04-05 - 2015-04-11,60,13,38,21,10
2015-04-12 - 2015-04-18,58,13,38,21,9
2015-04-19 - 2015-04-25,53,11,35,22,8
2015-04-26 - 2015-05-02,56,11,34,21,8
2015-05-03 - 2015-05-09,58,12,35,21,8
2015-05-10 - 2015-05-16,57,13,35,22,9
2015-05-17 - 2015-05-23,60,13,36,22,10
2015-05-24 - 2015-05-30,56,13,35,21,11
2015-05-31 - 2015-06-06,50,11,31,23,8
2015-06-07 - 2015-06-13,55,12,34,20,9
2015-06-14 - 2015-06-20,55,13,35,21,10
2015-06-21 - 2015-06-27,50,11,32,21,8
2015-06-28 - 2015-07-04,50,10,30,22,7
2015-07-05 - 2015-07-11,49,9,27,22,6
2015-07-12 - 2015-07-18,50,10,26,21,6
2015-07-19 - 2015-07-25,48,9,25,21,5
2015-07-26 - 2015-08-01,49,9,26,21,5
2015-08-02 - 2015-08-08,53,11,31,20,7
2015-08-09 - 2015-08-15,54,11,34,21,8
2015-08-16 - 2015-08-22,57,12,35,22,10
2015-08-23 - 2015-08-29,56,12,36,22,10
2015-08-30 - 2015-09-05,56,13,34,22,9
2015-09-06 - 2015-09-12,50,11,33,22,9
2015-09-13 - 2015-09-19,55,13,35,22,11
2015-09-20 - 2015-09-26,54,12,34,22,11
2015-09-27 - 2015-10-03,57,12,33,22,11
2015-10-04 - 2015-10-10,53,12,31,21,9
2015-10-11 - 2015-10-17,51,11,27,22,7
2015-10-18 - 2015-10-24,57,13,32,21,9
2015-10-25 - 2015-10-31,56,12,32,22,9
2015-11-01 - 2015-11-07,54,11,33,23,9
2015-11-08 - 2015-11-14,56,12,35,22,10
2015-11-15 - 2015-11-21,53,11,35,22,10
2015-11-22 - 2015-11-28,52,11,34,22,9
2015-11-29 - 2015-12-05,52,10,30,23,9
2015-12-06 - 2015-12-12,47,9,27,24,8
2015-12-13 - 2015-12-19,45,8,25,23,6
2015-12-20 - 2015-12-26,34,6,19,22,4
2015-12-27 - 2016-01-02,36,5,18,21,3


Top sub-regions for medicina+saúde+saude
Sub-region,medicina+saúde+saude,ciência+ciencia+tecnologia,arte+cultura,moda,política+politica
Federal District,100,64,72,55,60
Amapá,93,100,100,76,92
Piauí,87,62,62,100,67
Roraima,86,93,87,81,100
Bahia,84,58,74,93,77
Acre,83,63,62,93,68
Tocantins,81,68,66,100,73
Goiás,81,66,74,91,57
Pernambuco,80,59,80,91,56
