Web Search interest: medicina+saude+saúde meio ambiente religião+religiao economia esporte
Brazil 2006-2015

Interest over time
Week,medicina+saude+saúde,meio ambiente,religião+religiao,economia,esporte
2008-10-05 - 2008-10-11,48,8,3,12,39
2008-10-12 - 2008-10-18,53,9,4,11,37
2008-10-19 - 2008-10-25,53,10,5,12,45
2008-10-26 - 2008-11-01,54,10,5,12,44
2008-11-02 - 2008-11-08,55,10,5,12,46
2008-11-09 - 2008-11-15,55,10,5,13,44
2008-11-16 - 2008-11-22,50,10,5,12,45
2008-11-23 - 2008-11-29,51,9,4,11,39
2008-11-30 - 2008-12-06,50,6,3,8,39
2008-12-07 - 2008-12-13,43,5,2,7,48
2008-12-14 - 2008-12-20,39,4,2,5,51
2008-12-21 - 2008-12-27,28,2,2,3,54
2008-12-28 - 2009-01-03,31,2,2,4,55
2009-01-04 - 2009-01-10,47,3,2,4,52
2009-01-11 - 2009-01-17,50,4,2,4,54
2009-01-18 - 2009-01-24,49,4,2,4,59
2009-01-25 - 2009-01-31,52,4,2,5,61
2009-02-01 - 2009-02-07,51,5,2,6,61
2009-02-08 - 2009-02-14,53,6,3,8,62
2009-02-15 - 2009-02-21,50,7,3,8,62
2009-02-22 - 2009-02-28,44,6,3,6,56
2009-03-01 - 2009-03-07,57,8,4,10,56
2009-03-08 - 2009-03-14,56,8,4,10,61
2009-03-15 - 2009-03-21,56,8,5,10,55
2009-03-22 - 2009-03-28,55,9,5,11,60
2009-03-29 - 2009-04-04,55,9,5,11,60
2009-04-05 - 2009-04-11,48,7,4,9,64
2009-04-12 - 2009-04-18,56,8,5,10,63
2009-04-19 - 2009-04-25,50,7,4,8,61
2009-04-26 - 2009-05-02,54,7,4,8,64
2009-05-03 - 2009-05-09,53,8,4,9,71
2009-05-10 - 2009-05-16,53,10,5,10,75
2009-05-17 - 2009-05-23,53,12,5,10,70
2009-05-24 - 2009-05-30,53,15,5,10,73
2009-05-31 - 2009-06-06,49,29,5,9,68
2009-06-07 - 2009-06-13,44,15,4,9,66
2009-06-14 - 2009-06-20,52,12,5,10,78
2009-06-21 - 2009-06-27,51,9,5,8,79
2009-06-28 - 2009-07-04,48,7,4,7,72
2009-07-05 - 2009-07-11,44,6,3,5,73
2009-07-12 - 2009-07-18,46,5,2,4,80
2009-07-19 - 2009-07-25,49,4,2,4,85
2009-07-26 - 2009-08-01,53,5,2,4,91
2009-08-02 - 2009-08-08,54,5,2,5,89
2009-08-09 - 2009-08-15,58,6,3,6,84
2009-08-16 - 2009-08-22,57,7,4,8,89
2009-08-23 - 2009-08-29,55,8,5,9,88
2009-08-30 - 2009-09-05,52,8,4,9,83
2009-09-06 - 2009-09-12,48,8,4,9,80
2009-09-13 - 2009-09-19,54,9,5,10,78
2009-09-20 - 2009-09-26,52,10,5,10,79
2009-09-27 - 2009-10-03,50,9,4,9,72
2009-10-04 - 2009-10-10,49,7,4,8,80
2009-10-11 - 2009-10-17,47,7,3,7,77
2009-10-18 - 2009-10-24,52,9,4,10,72
2009-10-25 - 2009-10-31,52,9,4,9,91
2009-11-01 - 2009-11-07,51,8,4,9,82
2009-11-08 - 2009-11-14,52,9,4,10,88
2009-11-15 - 2009-11-21,51,8,4,9,83
2009-11-22 - 2009-11-28,51,8,4,10,81
2009-11-29 - 2009-12-05,46,7,3,8,77
2009-12-06 - 2009-12-12,42,5,2,6,77
2009-12-13 - 2009-12-19,40,4,2,5,66
2009-12-20 - 2009-12-26,30,2,1,3,71
2009-12-27 - 2010-01-02,31,2,2,3,70
2010-01-03 - 2010-01-09,47,3,2,4,66
2010-01-10 - 2010-01-16,48,4,2,4,71
2010-01-17 - 2010-01-23,45,4,2,4,78
2010-01-24 - 2010-01-30,47,3,2,4,81
2010-01-31 - 2010-02-06,50,4,2,5,82
2010-02-07 - 2010-02-13,46,5,2,5,77
2010-02-14 - 2010-02-20,42,4,2,5,84
2010-02-21 - 2010-02-27,54,6,3,8,77
2010-02-28 - 2010-03-06,56,6,3,8,75
2010-03-07 - 2010-03-13,59,7,3,9,76
2010-03-14 - 2010-03-20,56,7,4,9,76
2010-03-21 - 2010-03-27,60,8,4,9,74
2010-03-28 - 2010-04-03,51,6,3,8,78
2010-04-04 - 2010-04-10,66,8,4,9,79
2010-04-11 - 2010-04-17,61,7,4,9,70
2010-04-18 - 2010-04-24,60,7,4,8,82
2010-04-25 - 2010-05-01,60,7,4,9,80
2010-05-02 - 2010-05-08,53,7,4,8,86
2010-05-09 - 2010-05-15,57,8,4,9,95
2010-05-16 - 2010-05-22,61,9,5,10,88
2010-05-23 - 2010-05-29,52,12,6,10,84
2010-05-30 - 2010-06-05,48,15,5,9,94
2010-06-06 - 2010-06-12,50,13,6,11,86
2010-06-13 - 2010-06-19,49,9,6,10,90
2010-06-20 - 2010-06-26,47,7,5,9,87
2010-06-27 - 2010-07-03,44,6,4,6,82
2010-07-04 - 2010-07-10,44,5,3,6,72
2010-07-11 - 2010-07-17,42,4,2,5,72
2010-07-18 - 2010-07-24,42,4,2,4,79
2010-07-25 - 2010-07-31,43,4,2,4,79
2010-08-01 - 2010-08-07,46,6,3,6,77
2010-08-08 - 2010-08-14,48,6,4,7,84
2010-08-15 - 2010-08-21,49,7,4,8,77
2010-08-22 - 2010-08-28,49,7,4,9,84
2010-08-29 - 2010-09-04,47,7,4,8,83
2010-09-05 - 2010-09-11,42,6,3,7,84
2010-09-12 - 2010-09-18,48,8,4,9,84
2010-09-19 - 2010-09-25,48,8,4,8,89
2010-09-26 - 2010-10-02,44,7,4,8,85
2010-10-03 - 2010-10-09,42,6,3,7,77
2010-10-10 - 2010-10-16,40,5,3,6,82
2010-10-17 - 2010-10-23,46,7,4,8,77
2010-10-24 - 2010-10-30,45,7,4,8,83
2010-10-31 - 2010-11-06,40,7,4,8,73
2010-11-07 - 2010-11-13,46,7,4,8,76
2010-11-14 - 2010-11-20,44,7,4,8,77
2010-11-21 - 2010-11-27,45,7,3,8,66
2010-11-28 - 2010-12-04,43,6,3,7,62
2010-12-05 - 2010-12-11,39,5,2,5,65
2010-12-12 - 2010-12-18,36,4,1,4,68
2010-12-19 - 2010-12-25,30,2,1,3,68
2010-12-26 - 2011-01-01,28,2,1,3,68
2011-01-02 - 2011-01-08,39,3,1,3,83
2011-01-09 - 2011-01-15,39,3,1,3,80
2011-01-16 - 2011-01-22,42,3,1,3,77
2011-01-23 - 2011-01-29,42,3,1,3,77
2011-01-30 - 2011-02-05,43,3,2,3,86
2011-02-06 - 2011-02-12,45,4,2,4,76
2011-02-13 - 2011-02-19,46,5,3,6,76
2011-02-20 - 2011-02-26,46,5,3,6,73
2011-02-27 - 2011-03-05,43,5,3,6,70
2011-03-06 - 2011-03-12,37,4,3,5,73
2011-03-13 - 2011-03-19,47,6,4,8,76
2011-03-20 - 2011-03-26,47,7,4,8,74
2011-03-27 - 2011-04-02,48,7,4,8,71
2011-04-03 - 2011-04-09,48,6,4,8,75
2011-04-10 - 2011-04-16,47,6,4,8,79
2011-04-17 - 2011-04-23,38,4,3,6,89
2011-04-24 - 2011-04-30,49,6,4,7,84
2011-05-01 - 2011-05-07,44,6,3,6,83
2011-05-08 - 2011-05-14,46,7,3,6,81
2011-05-15 - 2011-05-21,47,8,4,7,87
2011-05-22 - 2011-05-28,45,10,4,7,89
2011-05-29 - 2011-06-04,45,15,4,7,85
2011-06-05 - 2011-06-11,43,15,4,7,82
2011-06-12 - 2011-06-18,44,9,4,7,77
2011-06-19 - 2011-06-25,38,6,3,5,83
2011-06-26 - 2011-07-02,41,5,3,5,95
2011-07-03 - 2011-07-09,40,4,2,4,87
2011-07-10 - 2011-07-16,39,4,2,4,94
2011-07-17 - 2011-07-23,38,3,2,3,91
2011-07-24 - 2011-07-30,39,4,2,4,97
2011-07-31 - 2011-08-06,42,5,3,6,96
2011-08-07 - 2011-08-13,43,6,3,7,91
2011-08-14 - 2011-08-20,43,6,3,7,99
2011-08-21 - 2011-08-27,44,6,4,7,85
2011-08-28 - 2011-09-03,45,6,3,7,90
2011-09-04 - 2011-09-10,40,5,3,6,100
2011-09-11 - 2011-09-17,45,7,4,7,81
2011-09-18 - 2011-09-24,44,7,3,7,84
2011-09-25 - 2011-10-01,44,6,3,7,73
2011-10-02 - 2011-10-08,42,5,3,6,71
2011-10-09 - 2011-10-15,39,4,2,5,83
2011-10-16 - 2011-10-22,44,6,3,7,75
2011-10-23 - 2011-10-29,45,6,3,7,70
2011-10-30 - 2011-11-05,41,5,3,6,69
2011-11-06 - 2011-11-12,43,6,3,7,77
2011-11-13 - 2011-11-19,40,5,3,6,91
2011-11-20 - 2011-11-26,44,6,4,7,74
2011-11-27 - 2011-12-03,41,5,3,6,71
2011-12-04 - 2011-12-10,37,4,2,5,74
2011-12-11 - 2011-12-17,34,3,2,4,80
2011-12-18 - 2011-12-24,30,2,2,3,69
2011-12-25 - 2011-12-31,29,2,2,3,65
2012-01-01 - 2012-01-07,39,2,2,3,68
2012-01-08 - 2012-01-14,40,2,1,3,69
2012-01-15 - 2012-01-21,37,2,1,3,75
2012-01-22 - 2012-01-28,38,2,1,3,79
2012-01-29 - 2012-02-04,42,3,2,3,77
2012-02-05 - 2012-02-11,41,3,2,4,80
2012-02-12 - 2012-02-18,40,4,2,4,75
2012-02-19 - 2012-02-25,35,3,2,4,72
2012-02-26 - 2012-03-03,46,4,3,5,69
2012-03-04 - 2012-03-10,47,4,3,6,76
2012-03-11 - 2012-03-17,48,5,3,6,77
2012-03-18 - 2012-03-24,47,5,3,7,72
2012-03-25 - 2012-03-31,45,5,3,7,72
2012-04-01 - 2012-04-07,39,4,3,6,73
2012-04-08 - 2012-04-14,45,5,3,7,71
2012-04-15 - 2012-04-21,45,5,4,6,76
2012-04-22 - 2012-04-28,53,4,3,6,82
2012-04-29 - 2012-05-05,43,4,3,5,66
2012-05-06 - 2012-05-12,45,5,3,6,72
2012-05-13 - 2012-05-19,44,6,4,6,78
2012-05-20 - 2012-05-26,44,7,4,7,84
2012-05-27 - 2012-06-02,45,11,4,7,71
2012-06-03 - 2012-06-09,38,16,3,6,78
2012-06-10 - 2012-06-16,41,9,3,7,79
2012-06-17 - 2012-06-23,40,7,3,6,79
2012-06-24 - 2012-06-30,40,5,3,5,75
2012-07-01 - 2012-07-07,39,4,3,4,80
2012-07-08 - 2012-07-14,40,3,3,4,81
2012-07-15 - 2012-07-21,37,3,2,3,86
2012-07-22 - 2012-07-28,37,3,2,3,85
2012-07-29 - 2012-08-04,38,4,2,4,75
2012-08-05 - 2012-08-11,39,5,3,5,80
2012-08-12 - 2012-08-18,41,5,3,6,76
2012-08-19 - 2012-08-25,41,5,3,6,77
2012-08-26 - 2012-09-01,40,5,3,7,81
2012-09-02 - 2012-09-08,36,5,3,6,77
2012-09-09 - 2012-09-15,41,5,4,7,79
2012-09-16 - 2012-09-22,41,6,3,6,75
2012-09-23 - 2012-09-29,40,5,3,6,73
2012-09-30 - 2012-10-06,40,4,3,6,73
2012-10-07 - 2012-10-13,33,3,2,4,70
2012-10-14 - 2012-10-20,39,4,3,6,81
2012-10-21 - 2012-10-27,40,5,3,6,70
2012-10-28 - 2012-11-03,36,5,3,6,61
2012-11-04 - 2012-11-10,39,5,3,7,65
2012-11-11 - 2012-11-17,34,4,3,5,68
2012-11-18 - 2012-11-24,37,4,3,6,71
2012-11-25 - 2012-12-01,37,4,3,6,60
2012-12-02 - 2012-12-08,36,3,2,5,62
2012-12-09 - 2012-12-15,34,2,2,4,67
2012-12-16 - 2012-12-22,29,2,2,3,64
2012-12-23 - 2012-12-29,23,1,2,2,62
2012-12-30 - 2013-01-05,30,1,2,2,65
2013-01-06 - 2013-01-12,38,2,2,3,67
2013-01-13 - 2013-01-19,38,2,2,3,67
2013-01-20 - 2013-01-26,35,2,2,3,73
2013-01-27 - 2013-02-02,36,2,2,3,67
2013-02-03 - 2013-02-09,34,2,2,3,69
2013-02-10 - 2013-02-16,30,2,2,3,66
2013-02-17 - 2013-02-23,39,3,3,4,64
2013-02-24 - 2013-03-02,39,3,3,5,64
2013-03-03 - 2013-03-09,40,3,3,5,61
2013-03-10 - 2013-03-16,41,4,4,6,59
2013-03-17 - 2013-03-23,40,4,4,6,58
2013-03-24 - 2013-03-30,35,3,3,5,59
2013-03-31 - 2013-04-06,42,4,4,6,63
2013-04-07 - 2013-04-13,43,4,4,6,63
2013-04-14 - 2013-04-20,42,4,4,6,65
2013-04-21 - 2013-04-27,42,4,3,5,64
2013-04-28 - 2013-05-04,37,4,3,5,75
2013-05-05 - 2013-05-11,40,4,3,5,63
2013-05-12 - 2013-05-18,40,5,3,5,72
2013-05-19 - 2013-05-25,40,6,4,6,72
2013-05-26 - 2013-06-01,36,7,3,5,77
2013-06-02 - 2013-06-08,40,17,3,6,72
2013-06-09 - 2013-06-15,39,7,3,6,63
2013-06-16 - 2013-06-22,38,5,3,6,61
2013-06-23 - 2013-06-29,38,4,2,5,56
2013-06-30 - 2013-07-06,37,3,2,4,62
2013-07-07 - 2013-07-13,37,3,2,4,66
2013-07-14 - 2013-07-20,37,3,2,3,68
2013-07-21 - 2013-07-27,35,2,2,3,68
2013-07-28 - 2013-08-03,38,3,3,4,77
2013-08-04 - 2013-08-10,40,4,3,5,70
2013-08-11 - 2013-08-17,39,5,3,5,72
2013-08-18 - 2013-08-24,42,5,3,6,71
2013-08-25 - 2013-08-31,42,6,3,6,72
2013-09-01 - 2013-09-07,40,5,3,6,74
2013-09-08 - 2013-09-14,39,5,3,6,76
2013-09-15 - 2013-09-21,39,5,3,6,74
2013-09-22 - 2013-09-28,39,4,3,6,67
2013-09-29 - 2013-10-05,39,4,3,5,74
2013-10-06 - 2013-10-12,39,4,2,5,75
2013-10-13 - 2013-10-19,39,4,2,5,72
2013-10-20 - 2013-10-26,40,4,3,6,77
2013-10-27 - 2013-11-02,40,4,3,6,65
2013-11-03 - 2013-11-09,40,4,3,6,66
2013-11-10 - 2013-11-16,38,4,3,6,76
2013-11-17 - 2013-11-23,39,4,3,6,65
2013-11-24 - 2013-11-30,39,4,3,5,61
2013-12-01 - 2013-12-07,37,3,2,4,62
2013-12-08 - 2013-12-14,33,2,2,4,68
2013-12-15 - 2013-12-21,30,2,2,3,64
2013-12-22 - 2013-12-28,22,1,2,2,59
2013-12-29 - 2014-01-04,29,1,1,2,64
2014-01-05 - 2014-01-11,41,2,1,3,56
2014-01-12 - 2014-01-18,38,2,1,3,61
2014-01-19 - 2014-01-25,38,2,2,3,63
2014-01-26 - 2014-02-01,40,2,2,3,60
2014-02-02 - 2014-02-08,39,2,2,4,69
2014-02-09 - 2014-02-15,40,3,2,4,64
2014-02-16 - 2014-02-22,41,3,3,5,63
2014-02-23 - 2014-03-01,38,3,3,5,64
2014-03-02 - 2014-03-08,33,2,2,4,57
2014-03-09 - 2014-03-15,44,3,3,6,62
2014-03-16 - 2014-03-22,44,4,3,6,59
2014-03-23 - 2014-03-29,44,4,3,6,61
2014-03-30 - 2014-04-05,43,3,3,6,66
2014-04-06 - 2014-04-12,42,4,3,6,68
2014-04-13 - 2014-04-19,35,3,3,4,71
2014-04-20 - 2014-04-26,40,3,3,5,66
2014-04-27 - 2014-05-03,39,3,3,5,74
2014-05-04 - 2014-05-10,43,4,4,6,66
2014-05-11 - 2014-05-17,43,4,4,7,64
2014-05-18 - 2014-05-24,43,5,5,7,71
2014-05-25 - 2014-05-31,43,6,4,7,70
2014-06-01 - 2014-06-07,40,11,4,6,64
2014-06-08 - 2014-06-14,34,4,3,5,60
2014-06-15 - 2014-06-21,33,2,2,4,71
2014-06-22 - 2014-06-28,35,2,2,4,64
2014-06-29 - 2014-07-05,36,2,3,3,65
2014-07-06 - 2014-07-12,34,2,2,3,59
2014-07-13 - 2014-07-19,37,3,3,4,65
2014-07-20 - 2014-07-26,39,3,3,4,61
2014-07-27 - 2014-08-02,40,3,3,4,64
2014-08-03 - 2014-08-09,40,3,3,5,58
2014-08-10 - 2014-08-16,40,3,3,5,65
2014-08-17 - 2014-08-23,42,4,4,6,76
2014-08-24 - 2014-08-30,42,4,4,6,70
2014-08-31 - 2014-09-06,41,4,3,6,76
2014-09-07 - 2014-09-13,41,4,3,6,71
2014-09-14 - 2014-09-20,42,4,3,6,71
2014-09-21 - 2014-09-27,40,4,3,6,72
2014-09-28 - 2014-10-04,40,4,3,6,71
2014-10-05 - 2014-10-11,39,4,3,6,65
2014-10-12 - 2014-10-18,41,3,3,6,69
2014-10-19 - 2014-10-25,43,4,3,6,76
2014-10-26 - 2014-11-01,40,4,3,8,61
2014-11-02 - 2014-11-08,43,4,3,7,65
2014-11-09 - 2014-11-15,44,4,3,6,64
2014-11-16 - 2014-11-22,40,4,3,6,75
2014-11-23 - 2014-11-29,40,4,3,6,62
2014-11-30 - 2014-12-06,42,3,2,5,56
2014-12-07 - 2014-12-13,36,2,2,4,57
2014-12-14 - 2014-12-20,33,2,2,4,56
2014-12-21 - 2014-12-27,23,1,2,2,53
2014-12-28 - 2015-01-03,24,1,2,2,54
2015-01-04 - 2015-01-10,38,1,2,3,56
2015-01-11 - 2015-01-17,40,2,2,3,61
2015-01-18 - 2015-01-24,40,2,2,4,63
2015-01-25 - 2015-01-31,40,2,2,4,56
2015-02-01 - 2015-02-07,39,2,2,4,70
2015-02-08 - 2015-02-14,38,2,2,4,61
2015-02-15 - 2015-02-21,32,2,2,4,61
2015-02-22 - 2015-02-28,41,3,3,5,58
2015-03-01 - 2015-03-07,43,3,3,6,56
2015-03-08 - 2015-03-14,42,3,3,7,60
2015-03-15 - 2015-03-21,43,4,3,7,59
2015-03-22 - 2015-03-28,41,3,3,7,67
2015-03-29 - 2015-04-04,38,3,3,6,59
2015-04-05 - 2015-04-11,44,3,3,7,67
2015-04-12 - 2015-04-18,43,3,3,6,69
2015-04-19 - 2015-04-25,39,3,3,5,73
2015-04-26 - 2015-05-02,41,3,3,5,57
2015-05-03 - 2015-05-09,43,3,3,6,73
2015-05-10 - 2015-05-16,42,4,3,6,81
2015-05-17 - 2015-05-23,45,5,3,6,69
2015-05-24 - 2015-05-30,43,6,4,6,70
2015-05-31 - 2015-06-06,37,10,3,5,79
2015-06-07 - 2015-06-13,40,7,4,6,67
2015-06-14 - 2015-06-20,40,5,4,6,70
2015-06-21 - 2015-06-27,37,4,3,5,66
2015-06-28 - 2015-07-04,36,3,3,5,80
2015-07-05 - 2015-07-11,37,2,3,5,78
2015-07-12 - 2015-07-18,37,2,2,4,72
2015-07-19 - 2015-07-25,36,2,2,4,69
2015-07-26 - 2015-08-01,37,2,2,4,71
2015-08-02 - 2015-08-08,39,3,3,5,64
2015-08-09 - 2015-08-15,40,3,3,5,81
2015-08-16 - 2015-08-22,42,4,3,6,75
2015-08-23 - 2015-08-29,43,4,3,7,74
2015-08-30 - 2015-09-05,42,4,3,7,82
2015-09-06 - 2015-09-12,37,3,3,6,82
2015-09-13 - 2015-09-19,41,4,4,7,89
2015-09-20 - 2015-09-26,41,4,4,7,69
2015-09-27 - 2015-10-03,42,3,3,6,71
2015-10-04 - 2015-10-10,39,3,3,6,64
2015-10-11 - 2015-10-17,38,3,3,5,68
2015-10-18 - 2015-10-24,42,4,3,6,68
2015-10-25 - 2015-10-31,42,3,3,6,63
2015-11-01 - 2015-11-07,40,3,3,6,61
2015-11-08 - 2015-11-14,42,4,4,6,65
2015-11-15 - 2015-11-21,40,4,5,6,66
2015-11-22 - 2015-11-28,38,4,3,6,57
2015-11-29 - 2015-12-05,38,3,3,5,62
2015-12-06 - 2015-12-12,35,2,2,4,57
2015-12-13 - 2015-12-19,34,2,2,4,56
2015-12-20 - 2015-12-26,25,1,2,3,57
2015-12-27 - 2016-01-02,26,1,2,3,56


Top sub-regions for medicina+saude+saúde
Sub-region,medicina+saude+saúde,meio ambiente,religião+religiao,economia,esporte
Federal District,100,31,65,56,62
Amapá,93,100,0,79,42
Piauí,87,57,83,53,99
Roraima,86,93,0,100,46
Bahia,84,62,82,55,100
Acre,83,58,90,66,87
Tocantins,81,71,87,67,79
Goiás,81,51,76,59,84
Pernambuco,80,45,80,53,81
Alagoas,77,45,84,45,87
Maranhão,75,68,100,57,94
Rio de Janeiro,74,40,63,53,65
